class,c2net_mAP,c2net_AR,c2net_AF1,c2net_Unc,edl_mAP,edl_AR,edl_AF1,edl_Unc
normal,0.742,0.781,0.761,0.17,0.751,0.792,0.771,0.15
diabetic retinopathy,0.671,0.708,0.689,0.26,0.682,0.721,0.701,0.24
glaucoma,0.603,0.559,0.580,0.33,0.621,0.581,0.600,0.30
cataract,0.615,0.572,0.593,0.31,0.633,0.595,0.613,0.29
epiretinal membrane,0.462,0.401,0.429,0.48,0.491,0.437,0.462,0.42
drusen,0.451,0.388,0.417,0.51,0.479,0.425,0.450,0.45
maculopathy,0.435,0.371,0.400,0.52,0.463,0.408,0.434,0.47
optic disc edema,0.362,0.294,0.324,0.61,0.389,0.334,0.359,0.56
refractive media opacity,0.418,0.356,0.384,0.56,0.447,0.392,0.418,0.50
other retinal diseases,0.392,0.331,0.359,0.63,0.405,0.347,0.374,0.59
